i_rank_show,c_comment,c_expense_group_main,c_creditor,c_acc_item2,f_inv,c_acc_code,c_acc_name,c_acc_code2,c_acc_name2
ที่,รายการ,ประเภทรายจ่าย,รายชื่อเจ้าหนี้, วันที่ตรวจรับ , จำนวนเงิน , รหัสบัญชีย่อยค่าใช้จ่ายเดบิต , ชื่อบัญชีย่อยค่าใช้จ่ายเดบิต , รหัสบัญชีย่อยค่าใช้จ่ายเครดิต , ชื่อบัญชีย่อยค่าใช้จ่ายเครดิต 
29,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทซิลลิค ฟาร์มา จำกัด,15 ก.ย.2563," 160,500.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
30,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทซิลลิค ฟาร์มา จำกัด,18 ก.ย.2563," 486,000.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
31,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทซิลลิค ฟาร์มา จำกัด,18 ก.ย.2563," 148,387.60 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
32,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทซิลลิค ฟาร์มา จำกัด,16 ก.ย.2563," 428,000.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
33,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทซิลลิค ฟาร์มา จำกัด,15 ก.ย.2563," 454,792.80 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
34,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทไบโอจีนีเทค จำกัด,22 ก.ย.2563," 351,013.50 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
35,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทโมเดิร์น แบรนด์ส จำกัด,16 ก.ย.2563," 263,220.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
36,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทซิลลิค ฟาร์มา จำกัด,16 ก.ย.2563," 128,400.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
37,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทแคสป้า ฟาร์มาซูติคอล (ประเทศไทย) จำกัด,18 ก.ย.2563," 192,600.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
38,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทสยามฟาร์มาซูติคอล จำกัด,18 ก.ย.2563," 126,795.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
39,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,ค่าวัสดุ,บริษัทเมดไลน์ จำกัด,18 ก.ย.2563," 242,136.00 ",50301020321,ค่ายาและเวชภัณฑ์ อวัยวะเทียม,20101010101,เจ้าหนี้ค่าสินค้าและบริการ
