i_rank_show,c_comment,c_expense_group_main,c_creditor,d_doc,f_inv,c_acc_code,c_acc_name,c_acc_code2,c_acc_name2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ที่,รายการ,ประเภทรายจ่าย,รายชื่อเจ้าหนี้,วันที่ตรวจรับ, จำนวนเงิน , รหัสบัญชีย่อยค่าใช้จ่ายเดบิต , ชื่อบัญชีย่อยค่าใช้จ่ายเดบิต , รหัสบัญชีย่อยค่าใช้จ่ายเครดิต , ชื่อบัญชีย่อยค่าใช้จ่ายเครดิต ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,จัดซื้อวัสดุงานช่าง จำนวน 1 รายการ,ค่าวัสดุ,บริษัท มิตซูบิชิ เอลเลเวเตอร์ประเทศไทย จำกัด,2020-08-28," 16,050.00 ",50301020322,ค่าวัสดุไฟฟ้า ประปา งานบ้าน งานก่อสร้าง งานครัว และงานสวน,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"จัดซื้อสบู่เหลวพร้อมใช้ (ฃนิดหัวปั๊ม)จำนวน 4,800 ขวด",ค่าวัสดุ,บริษัท โพส เฮลท์แคร์ จำกัด,2020-09-14," 40,000.00 ",50301020322,ค่าวัสดุไฟฟ้า ประปา งานบ้าน งานก่อสร้าง งานครัว และงานสวน,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"จัดซื้อกระป๋องทิ้งของแหลมคม ขนาด 5x7 นิ้ว จำนวน 10,000 ใบ ",ค่าวัสดุ,บริษัท ชินเมดิคอล จำกัด,2020-09-11," 19,200.00 ",50301020322,ค่าวัสดุไฟฟ้า ประปา งานบ้าน งานก่อสร้าง งานครัว และงานสวน,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,จัดซื้อวัสดุงานบ้านงานครัวกระดาษชำระ จำนวน 2 รายการ,ค่าวัสดุ,บริษัท วินโปรฟิทส์ จำกัด,2020-09-15," 43,002.00 ",50301020322,ค่าวัสดุไฟฟ้า ประปา งานบ้าน งานก่อสร้าง งานครัว และงานสวน,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"จัดซื้อน้ำมันดีเซลหมุนเร็ว 16,000 ลิตร",ค่าวัสดุ,บริษัท ปตท จำกัด (มหาชน),2020-08-31," 177,020.80 ",50301020301,ค่าวัสดุน้ำมันเชื้อเพลิงและหล่อลื่น,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"จัดซื้อน้ำมันดีเซลหมุนเร็ว 16,000 ลิตร",ค่าวัสดุ,บริษัท ปตท จำกัด (มหาชน),2020-08-14," 177,020.80 ",50301020301,ค่าวัสดุน้ำมันเชื้อเพลิงและหล่อลื่น,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,จ้างเหมาพิมพ์สติ๊กเกอร์ติดซองยา จำนวน 1 รายการ,ค่าวัสดุ,บจก.ซิสเต็ม เอส,2020-08-27," 155,150.00 ",50301020302,ค่าวัสดุสำนักงาน,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,จัดซื้อเพลารถเข็นเวชภัณฑ์ขับเคลื่อนที่ด้วยระบบไฟฟ้า จำนวน 1 ชุด,ค่าวัสดุ,บริษัท ซิลลิค ฟาร์มา จำกัด,2020-09-11," 19,260.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,จัดซื้ออุปกรณ์ผ่าตัดผ่านกล้องโพรงมดลูก (Hysteroscopy) จำนวน 17 รายการ,ค่าวัสดุ,บริษัท บีเจเอช เมดิคอล จำกัด,2020-09-11," 660,000.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,แบตเตอรี่สำหรับเครื่องวัดสัญญาณชีพผู้ป่วย 2 รายการ,วัสดุ,บริษัท โซวิค จำกัด,2020-09-03," 1,627,500.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,อุปกรณ์ผ่าตัดปอดภายใต้กล้องส่องตรวจ 9 รายการ,วัสดุ,บริษัท ฟิวเจอร์ เมดิคอล ซัพพลาย จำกัด,2020-09-09," 780,000.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33, ใบสั่งซื้อ 1C194-01/2563, ค่าวัสดุ, บริษัท ซิลลิค ฟาร์มา จำกัด,2020-03-06," 305,300.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34, ใบสั่งซื้อ 1C194-02/2563, ค่าวัสดุ, บริษัท ซิลลิค ฟาร์มา จำกัด,2020-03-13," 105,000.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35, ใบสั่งซื้อ 1C194-03/2563, ค่าวัสดุ, บริษัท ซิลลิค ฟาร์มา จำกัด,2020-03-23," 125,200.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36, ใบสั่งซื้อ 1C194-04/2563, ค่าวัสดุ, บริษัท ซิลลิค ฟาร์มา จำกัด,2020-05-22," 57,000.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37, ใบสั่งซื้อ 1C194-05/2563, ค่าวัสดุ, บริษัท ซิลลิค ฟาร์มา จำกัด,2020-06-22," 106,200.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38, ใบสั่งซื้อ 1C194-06/2563, ค่าวัสดุ, บริษัท ซิลลิค ฟาร์มา จำกัด,2020-07-17," 155,100.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39, ใบสั่งซื้อ 1C194-07/2563, ค่าวัสดุ, บริษัท ซิลลิค ฟาร์มา จำกัด,2020-08-28," 72,100.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40, ใบสั่งซื้อ 1C194-08/2563, ค่าวัสดุ, บริษัท ซิลลิค ฟาร์มา จำกัด,2020-09-25," 153,000.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41, ใบสั่งซื้อ 1C195-02/2563, ค่าวัสดุ, บริษัท กรุงเทพอินเตอร์โปรดักส์ จำกัด,2020-03-20," 13,920.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42, ใบสั่งซื้อ 1C195-03/2563, ค่าวัสดุ, บริษัท กรุงเทพอินเตอร์โปรดักส์ จำกัด,2020-06-19," 13,920.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43, ใบสั่งซื้อ 1C195-04/2563, ค่าวัสดุ, บริษัท กรุงเทพอินเตอร์โปรดักส์ จำกัด,2020-07-18," 16,240.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44, ใบสั่งซื้อ 1C219-01/2563, ค่าวัสดุ, บริษัท กรุงเทพอินเตอร์โปรดักส์ จำกัด,2020-03-23," 48,050.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45, ใบสั่งซื้อ 1C219-02/2563, ค่าวัสดุ, บริษัท กรุงเทพอินเตอร์โปรดักส์ จำกัด,2020-06-26," 51,950.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46, ใบสั่งซื้อ 1C219-03/2563, ค่าวัสดุ, บริษัท กรุงเทพอินเตอร์โปรดักส์ จำกัด,2020-09-01," 78,950.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47, ใบสั่งซื้อ 1C224-02/2563, ค่าวัสดุ, บริษัท เมดิทอป จำกัด,2020-06-22," 1,240,000.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48, ใบสั่งซื้อ 1C224-03/2563, ค่าวัสดุ, บริษัท เมดิทอป จำกัด,2020-07-24," 1,085,000.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49, ใบสั่งซื้อ 1C248-01/2563, ค่าวัสดุ, บริษัท ไบโอเมด ไดแอกนอสติกส์ (ประเทศไทย) จำกัด,2020-06-20," 716,472.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50, ใบสั่งซื้อ 1C248-02/2563, ค่าวัสดุ, บริษัท ไบโอเมด ไดแอกนอสติกส์ (ประเทศไทย) จำกัด,2020-06-03," 598,344.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51, ใบสั่งซื้อ 1C248-03/2564, ค่าวัสดุ, บริษัท ไบโอเมด ไดแอกนอสติกส์ (ประเทศไทย) จำกัด,2020-09-01," 993,816.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52, ใบสั่งซื้อ 1C253-01/2563, ค่าวัสดุ, บริษัท วายดี ไดซ์นอสติคส์ (ประเทศไทย) จำกัด,2020-04-16," 49,000.30 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53, ใบสั่งซื้อ 1C253-02/2564, ค่าวัสดุ, บริษัท วายดี ไดซ์นอสติคส์ (ประเทศไทย) จำกัด,2020-07-17," 124,417.30 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54, ใบสั่งซื้อ 1C258-01/2563, ค่าวัสดุ, บริษัท อี ฟอร์ แอล เอม จำกัด (มหาชน),2020-06-12," 532,600.00 ",50301020309,ค่าวัสดุวิทยาศาสตร์ทางการแพทย์และวัสดุเคมี,20101010101,เจ้าหนี้ค่าสินค้าและบริการ,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
